,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Kumul,42.8,93.45,23.96,14,0,2.35,CN,1663126379
272,Ridgecrest,35.6225,-117.6709,27.92,26,20,4.47,US,1663126603
273,Vilhena,-12.7406,-60.1458,23.16,48,9,1.14,BR,1663126603
274,Kaeo,-35.1,173.7833,17.4,75,81,0.85,NZ,1663126603
275,Lavrentiya,65.5833,-171.0,7.06,94,100,1.25,RU,1663126604
276,Malaya Purga,56.5567,53.0043,6.95,64,100,4.58,RU,1663126604
277,Iquique,-20.2208,-70.1431,14.02,75,6,1.16,CL,1663126605
278,Mamontovo,52.7055,81.6244,11.7,39,20,5.48,RU,1663126605
279,Kadaya,50.9327,119.2911,21.04,27,100,3.32,RU,1663126606
280,Chifeng,42.2683,118.9636,25.85,35,1,3.15,CN,1663126320
281,Karratha,-20.7377,116.8463,27.27,27,1,0.6,AU,1663126334
282,Villa Carlos Paz,-31.4241,-64.4978,10.77,29,48,2.14,AR,1663126609
283,Buin,-33.7333,-70.75,12.08,85,0,1.11,CL,1663126609
284,Streator,41.1209,-88.8354,16.9,94,0,0.76,US,1663126609
285,Casper,42.8666,-106.3131,19.84,47,100,9.77,US,1663126610
286,Kara-Tyube,44.6336,45.4369,16.93,87,100,4.78,RU,1663126611
287,Broome,42.2506,-75.833,14.36,87,0,2.57,US,1663126611
288,Haines Junction,60.7522,-137.5108,9.97,66,100,3.6,CA,1663126611
289,Alice Springs,-23.7,133.8833,32.75,17,7,7.72,AU,1663126611
290,Adrar,20.5022,-10.0711,34.38,21,53,3.91,MR,1663126612
291,Baião,-2.7906,-49.6717,23.03,93,29,1.48,BR,1663126612
292,Cho Dok,10.7,105.1167,31.85,58,33,5.8,VN,1663126450
293,Lozova,48.8894,36.3176,10.39,91,87,3.12,UA,1663126613
294,Colquechaca,-18.6667,-66.0167,0.07,56,71,0.6,BO,1663126613
295,Iqaluit,63.7506,-68.5145,5.85,86,75,1.54,CA,1663126613
296,Sterling,39.0062,-77.4286,21.0,73,75,5.14,US,1663126614
297,Alakurtti,66.9672,30.3491,6.37,96,100,1.51,RU,1663126614
298,Anadyr,64.75,177.4833,6.28,93,100,3.0,RU,1663126615
299,Clyde River,70.4692,-68.5914,3.13,100,100,6.17,CA,1663126616
300,Bridlington,54.0831,-0.1919,10.5,77,17,2.63,GB,1663126616
301,Gornoye Loo,43.7129,39.6049,14.88,85,87,1.69,RU,1663126616
302,Taksimo,56.3444,114.8794,11.93,49,71,0.9,RU,1663126617
303,Léo,11.1,-2.1,21.14,94,46,1.42,BF,1663126617
304,Ancud,-41.8697,-73.8203,10.68,87,100,7.68,CL,1663126618
305,Quang Ngai,15.1167,108.8,31.36,64,38,2.4,VN,1663126589
306,Vaitape,-16.5167,-151.75,25.86,74,100,9.01,PF,1663126619
307,Bayan,46.0833,127.4,21.57,55,45,2.9,CN,1663126620
308,Grand-Lahou,5.1367,-5.0242,23.27,94,97,2.9,CI,1663126620
309,Qasigiannguit,68.8193,-51.1922,9.14,83,100,3.39,GL,1663126621
310,Eišiškės,54.1667,25.0,9.82,91,98,3.83,LT,1663126621
311,Yarmouth,41.7057,-70.2286,23.33,95,100,3.09,US,1663126622
312,Hualmay,-11.0964,-77.6139,15.59,85,68,3.68,PE,1663126622
313,Ha Tinh,18.3333,105.9,31.33,59,56,0.84,VN,1663126479
314,Boulder City,35.9786,-114.8325,29.18,42,32,3.6,US,1663126623
315,Khatanga,71.9667,102.5,1.37,97,100,4.45,RU,1663126623
316,Owando,-0.4819,15.8999,21.47,85,94,1.41,CG,1663126624
317,Kenai,60.5544,-151.2583,11.16,89,75,4.63,US,1663126624
318,Luena,-11.7833,19.9167,14.96,33,4,2.0,AO,1663126626
319,Shache,38.4167,77.2406,26.65,18,71,1.75,CN,1663126626
320,Ambon City,-3.6954,128.1814,28.08,83,40,3.09,ID,1663126627
321,Pascagoula,30.3658,-88.5561,20.03,95,0,0.0,US,1663126628
322,Cedar City,37.6775,-113.0619,15.22,88,100,4.12,US,1663126628
323,Sukpak,51.6667,94.6333,14.17,41,3,1.23,RU,1663126629
324,Buchanan,5.8808,-10.0467,24.01,91,99,2.68,LR,1663126629
325,Boa Vista,2.8197,-60.6733,25.99,78,20,2.06,BR,1663126559
326,Uyemskiy,64.4743,40.8524,11.03,87,40,2.0,RU,1663126630
327,Wad Medani,14.4012,33.5199,23.18,82,59,5.03,SD,1663126630
328,Inírida,3.8653,-67.9239,23.25,90,91,0.53,CO,1663126630
329,Luganville,-15.5333,167.1667,27.7,72,48,4.52,VU,1663126631
330,Khorol,49.7837,33.2783,10.33,92,100,3.84,UA,1663126632
331,Ruwi,23.5996,58.5507,29.83,55,4,0.83,OM,1663126632
332,Severo-Kuril'sk,50.6789,156.125,11.38,72,64,9.19,RU,1663126632
333,Marawi,7.9986,124.2928,28.87,60,71,2.11,PH,1663126632
334,Biak,-0.9131,122.8766,26.22,77,94,4.54,ID,1663126633
335,Dakar,14.6937,-17.4441,27.07,89,40,2.06,SN,1663126351
336,Ostrovnoy,68.0531,39.5131,8.86,82,100,9.62,RU,1663126634
337,Huarmey,-10.0681,-78.1522,16.07,85,30,3.98,PE,1663126634
338,Lipetsk,52.6031,39.5708,10.41,98,100,1.79,RU,1663126634
339,Kristiansund,63.1115,7.732,10.36,93,100,7.2,NO,1663126635
340,Soldotna,60.4878,-151.0583,11.12,88,100,4.63,US,1663126635
341,Chengde,40.9725,117.9361,29.43,29,0,3.41,CN,1663126636
342,Aswān,24.0934,32.907,28.44,31,3,4.44,EG,1663126636
343,Menzel Kamel,35.6248,10.6673,25.69,78,0,1.03,TN,1663126636
344,Domoni,-12.2569,44.5319,23.57,77,26,3.42,KM,1663126637
345,Guerrero Negro,27.9769,-114.0611,23.09,77,0,5.3,MX,1663126637
346,Nantucket,41.2835,-70.0995,24.06,76,100,5.14,US,1663126637
347,Northam,51.0333,-4.2167,14.78,95,100,4.23,GB,1663126638
348,Sipe Sipe,-17.45,-66.3833,17.27,74,71,2.57,BO,1663126639
349,Vanimo,-2.6741,141.3028,30.19,64,97,4.74,PG,1663126639
350,Chervona Sloboda,49.3789,32.1464,11.59,89,100,4.69,UA,1663126640
351,Lac du Bonnet,50.2536,-96.0612,7.67,73,69,2.21,CA,1663126640
352,Umluj,25.0213,37.2685,29.7,43,2,4.92,SA,1663126640
353,Vostok,46.4856,135.8833,18.6,35,0,1.62,RU,1663126641
354,Dandong,40.1292,124.3947,20.72,84,100,0.97,CN,1663126641
355,Kasongo-Lunda,-6.4667,16.8167,21.67,88,80,1.1,CD,1663126642
356,Nueva Imperial,-38.7333,-72.95,6.36,95,49,0.63,CL,1663126643
357,Tuy Hoa,13.0833,109.3,32.14,59,96,3.1,VN,1663126602
358,Arrondissement de Morlaix,48.5833,-4.0,18.03,97,100,3.09,FR,1663126645
359,Norman Wells,65.282,-126.8329,14.02,54,75,2.06,CA,1663126645
360,Faya,18.3851,42.4509,18.06,38,100,0.43,SA,1663126645
361,Arlit,18.7369,7.3853,31.51,12,9,4.7,NE,1663126646
362,Arang,21.2,81.9667,28.18,84,92,5.41,IN,1663126646
363,Arak,34.0917,49.6892,23.31,18,0,1.8,IR,1663126646
364,Sinop Province,41.7711,34.8709,12.18,88,7,2.09,TR,1663126647
365,Isangel,-19.55,169.2667,28.06,69,75,3.09,VU,1663126648
366,Longyearbyen,78.2186,15.6401,1.91,75,75,1.54,SJ,1663126648
367,Matamoros,25.5333,-103.25,28.06,39,0,2.06,MX,1663126649
368,Vila do Maio,15.1333,-23.2167,26.44,83,100,5.15,CV,1663126649
369,Zabul Province,32.25,67.25,21.45,20,0,0.91,AF,1663126649
370,Aksu,41.1231,80.2644,25.35,22,0,1.45,CN,1663126650
371,Scarborough,54.2797,-0.4044,11.06,90,4,2.18,GB,1663126651
372,Tilichiki,60.4667,166.1,7.61,69,71,0.57,RU,1663126654
373,Sarab,38.6066,44.9883,18.62,32,20,2.06,IR,1663126654
374,Berlevåg,70.8578,29.0864,4.0,81,100,3.6,NO,1663126654
375,Shenzhen,22.5455,114.0683,34.04,51,33,3.15,CN,1663126326
376,Stornoway,58.2093,-6.3865,11.13,87,100,3.6,GB,1663126656
377,Sokolovyy,51.5686,45.8331,12.41,80,98,4.82,RU,1663126656
378,Ulladulla,-35.35,150.4667,14.75,60,49,4.31,AU,1663126372
379,Nemuro,43.3236,145.575,14.65,75,96,9.87,JP,1663126657
380,Novobirilyussy,56.9514,90.6661,10.47,50,25,1.5,RU,1663126657
381,Corinth,37.9407,22.9573,19.38,67,0,0.51,GR,1663126658
382,Kununurra,-15.7667,128.7333,35.99,30,0,3.09,AU,1663126658
383,Tigzirt,36.8886,4.1198,28.27,61,100,6.89,DZ,1663126659
384,Hudson Bay,52.85,-102.3842,9.11,60,76,1.0,CA,1663126659
385,Golden Gate,26.1879,-81.6951,26.1,71,0,4.12,US,1663126659
386,Toyooka,35.5333,134.8333,28.03,83,40,3.6,JP,1663126660
387,Matoury,4.8483,-52.3317,24.98,88,0,0.51,GF,1663126661
388,Zyryanka,65.75,150.85,9.62,45,11,6.73,RU,1663126661
389,Kahului,20.8947,-156.47,29.01,71,75,8.75,US,1663126662
390,Shiyan,32.6475,110.7781,29.12,36,69,3.61,CN,1663126662
391,Boca do Acre,-8.7522,-67.3978,25.51,69,100,1.16,BR,1663126662
392,Patea,-39.7583,174.4833,9.83,84,98,4.79,NZ,1663126663
393,Muros,42.7762,-9.0603,20.09,93,79,7.44,ES,1663126664
394,Zhangaözen,43.3,52.8,19.42,22,1,10.48,KZ,1663126664
395,Lompoc,34.6391,-120.4579,18.08,87,0,3.6,US,1663126665
396,Tarauacá,-8.1614,-70.7656,24.04,70,22,0.55,BR,1663126665
397,Almeirim,-1.5233,-52.5817,23.97,81,22,1.62,BR,1663126665
398,Cape Coast,5.1053,-1.2466,23.47,92,78,3.32,GH,1663126666
399,West Bay,19.3667,-81.4167,28.04,79,0,1.03,KY,1663126666
400,Bowen,-20.0167,148.2333,23.72,51,0,8.79,AU,1663126667
401,Lakes Entrance,-37.8811,147.981,17.31,48,0,4.66,AU,1663126667
402,Nanortalik,60.1432,-45.2371,6.57,77,7,2.73,GL,1663126667
403,Nampa,43.5407,-116.5635,21.81,62,0,4.12,US,1663126668
404,Puerto Ayacucho,5.6639,-67.6236,23.89,91,97,1.68,VE,1663126668
405,Mahébourg,-20.4081,57.7,22.92,94,20,2.06,MU,1663126668
406,Manaus,-3.1019,-60.025,26.27,83,0,1.03,BR,1663126669
407,Buala,-8.145,159.5921,29.26,69,94,3.11,SB,1663126670
408,Sabang,5.8933,95.3214,27.59,73,100,3.61,ID,1663126670
409,Quatre Cocos,-20.2078,57.7625,22.83,72,86,3.6,MU,1663126670
410,Gizo Government Station,-8.103,156.8419,28.33,73,87,3.27,SB,1663126671
411,Tigil',57.8,158.6667,9.69,62,78,5.71,RU,1663126671
412,Sirte,31.2089,16.5887,24.6,66,0,3.08,LY,1663126672
413,Acapulco de Juárez,16.8634,-99.8901,26.9,83,100,1.03,MX,1663126672
414,Korla,41.7597,86.1469,24.63,20,0,1.1,CN,1663126672
415,Magadan,59.5667,150.8,13.63,53,100,4.06,RU,1663126674
416,Ignacio Zaragoza,28.3833,-107.2167,15.63,77,84,3.13,MX,1663126674
417,Abu Kamal,34.4506,40.9171,25.88,51,0,3.46,SY,1663126674
418,Winton,37.3894,-120.6133,22.95,50,0,5.14,US,1663126675
419,Avera,33.194,-82.5271,17.03,49,1,2.75,US,1663126675
420,Dunedin,-45.8742,170.5036,10.45,65,79,0.89,NZ,1663126383
421,Manaure,11.7751,-72.4445,28.29,72,100,6.66,CO,1663126675
422,Onega,63.9061,38.1404,10.61,77,100,3.78,RU,1663126676
423,Zaysan,47.4667,84.8667,14.43,48,81,2.49,KZ,1663126676
424,Amarillo,35.222,-101.8313,25.14,46,0,6.69,US,1663126676
425,Tamandaré,-8.7597,-35.1047,22.77,88,80,2.07,BR,1663126677
426,Half Moon Bay,37.4636,-122.4286,18.82,84,100,5.66,US,1663126677
427,Marrakesh,31.6315,-8.0083,21.04,73,75,3.09,MA,1663126678
428,Flinders,-34.5833,150.8552,15.7,60,40,3.19,AU,1663126679
429,Lata,40.1629,-8.3327,18.37,95,97,1.82,PT,1663126679
430,Garissa,-0.4536,39.6401,22.25,81,63,6.91,KE,1663126679
431,San Policarpo,12.1791,125.5072,32.59,57,92,1.95,PH,1663126679
432,Neuquén,-38.9516,-68.0591,10.94,62,0,1.03,AR,1663126680
433,Sambava,-14.2667,50.1667,21.74,80,87,4.6,MG,1663126681
434,Amazar,53.858,120.875,16.03,39,100,0.9,RU,1663126681
435,Los Andes,-32.8337,-70.5983,7.23,59,0,1.32,CL,1663126681
436,Carutapera,-1.195,-46.02,25.27,85,25,2.88,BR,1663126682
437,Brigantine,39.4101,-74.3646,22.78,71,0,2.06,US,1663126682
438,Bambanglipuro,-7.95,110.2833,28.95,64,18,7.39,ID,1663126683
439,Tongliao,43.6125,122.2653,22.55,32,97,2.98,CN,1663126255
440,Mianyang,31.4593,104.7542,20.13,95,100,4.29,CN,1663126683
441,Torbay,47.6666,-52.7314,13.49,96,100,8.75,CA,1663126684
442,Rawson,-43.3002,-65.1023,14.01,41,65,5.21,AR,1663126684
443,Bara,10.3744,10.7288,21.14,90,96,2.0,NG,1663126685
444,Quelimane,-17.8786,36.8883,20.97,94,20,2.06,MZ,1663126685
445,Wanning,18.8003,110.3967,30.85,62,30,1.47,CN,1663126685
446,Esso,55.9333,158.7,8.72,57,10,4.42,RU,1663126686
447,Shenjiamen,29.9576,122.298,25.13,93,100,14.12,CN,1663126686
448,Beringovskiy,63.05,179.3167,6.61,83,100,1.63,RU,1663126686
449,Sechura,-5.5569,-80.8222,16.67,79,5,5.76,PE,1663126687
450,Port Augusta,-32.5,137.7667,27.07,32,31,14.04,AU,1663126689
451,Pimenta Bueno,-11.6725,-61.1936,27.04,48,31,0.92,BR,1663126689
452,Gamba,-2.65,10.0,22.94,86,100,2.18,GA,1663126690
453,Tucupita,9.0622,-62.051,22.73,97,46,1.02,VE,1663126690
454,Itaituba,-4.2761,-55.9836,23.78,77,22,0.33,BR,1663126690
455,Shimoda,34.6667,138.95,30.2,72,93,5.33,JP,1663126414
456,San Borja,-14.8167,-66.85,21.67,98,56,0.97,BO,1663126691
457,Statesboro,32.4488,-81.7832,21.93,88,0,0.0,US,1663126691
458,Namatanai,-3.6667,152.4333,29.17,67,82,4.76,PG,1663126692
459,Makakilo City,21.3469,-158.0858,29.18,57,20,7.72,US,1663126692
460,Hobyo,5.3505,48.5268,25.43,80,43,9.93,SO,1663126692
461,Giohar,2.7809,45.5005,24.34,80,100,7.07,SO,1663126693
462,Saint-Joseph,-21.3667,55.6167,20.21,65,98,0.72,RE,1663126693
463,Saint-Pierre,-21.3393,55.4781,20.82,49,0,3.6,RE,1663126693
464,Kollam,8.8833,76.6,26.79,77,77,2.08,IN,1663126277
465,North Bend,43.4065,-124.2243,15.04,100,100,2.06,US,1663126694
466,Lubango,-14.9172,13.4925,15.27,50,57,1.31,AO,1663126694
467,Bambari,5.768,20.6757,20.73,98,98,1.03,CF,1663126695
468,Yeppoon,-23.1333,150.7333,24.88,64,1,5.45,AU,1663126696
469,Tarko-Sale,64.9225,77.785,8.1,92,99,5.06,RU,1663126696
470,Tabas,33.5959,56.9244,29.89,12,0,0.29,IR,1663126697
471,Aykhal,66.0,111.5,2.9,94,96,8.81,RU,1663126698
472,Buluang,13.3068,123.3425,28.63,85,100,5.39,PH,1663126698
473,Ust-Kuyga,70.0167,135.6,3.01,97,100,1.23,RU,1663126699
474,San Jerónimo,-11.9472,-75.2829,12.29,69,100,0.7,PE,1663126700
475,Diamantina,-18.2494,-43.6003,16.24,41,6,1.89,BR,1663126700
476,Estevan,49.1334,-102.9842,10.19,71,40,4.63,CA,1663126701
477,Pullman,46.7313,-117.1796,22.13,53,100,1.54,US,1663126702
478,Suleja,9.1758,7.1808,21.55,95,71,0.32,NG,1663126703
479,Cayenne,4.9333,-52.3333,25.02,88,0,0.51,GF,1663126703
480,Oranjestad,12.524,-70.027,28.65,79,95,9.54,AW,1663126704
481,Zilair,52.2332,57.4392,11.07,56,100,3.34,RU,1663126705
482,Zhifang,30.35,114.3167,28.99,53,11,5.01,CN,1663126705
483,Yekaterinogradskaya,43.7635,44.2317,16.4,93,100,1.86,RU,1663126706
484,Poum,-20.2333,164.0167,23.83,77,2,7.89,NC,1663126708
485,Sept-Îles,50.2001,-66.3821,16.29,93,100,3.09,CA,1663126708
486,Murgab,37.4966,61.9714,13.93,51,0,2.06,TM,1663126709
487,Nichinan,31.6,131.3667,30.82,82,38,6.06,JP,1663126642
488,Arman',59.7,150.1667,13.9,52,100,2.96,RU,1663126709
489,Nazaré,-13.035,-39.0144,18.15,94,5,0.81,BR,1663126709
490,Oron,4.8256,8.2343,23.1,95,100,0.67,NG,1663126710
491,Champerico,14.3,-91.9167,26.06,85,100,3.42,GT,1663126711
492,Sanming,26.2486,117.6186,28.73,60,54,3.18,CN,1663126483
493,Vredendal,-31.6683,18.5012,16.32,31,0,4.1,ZA,1663126711
494,Sahuaripa,29.05,-109.2333,25.62,74,71,1.48,MX,1663126712
495,Philadelphia,39.9523,-75.1638,21.63,66,0,3.09,US,1663126611
496,Departamento de Maldonado,-34.6667,-54.9167,11.24,96,6,0.34,UY,1663126712
497,Zhigalovo,54.8097,105.1578,10.59,50,100,2.12,RU,1663126713
498,Ust'-Kulom,61.6864,53.6902,9.47,81,98,1.72,RU,1663126713
499,Tignère,7.3667,12.65,16.35,94,98,0.36,CM,1663126713
500,Tabou,4.423,-7.3528,23.97,87,100,3.55,CI,1663126714
501,Pingzhuang,42.0372,119.2889,26.6,32,31,2.86,CN,1663126714
502,Esna,25.2934,32.554,28.04,32,0,2.74,EG,1663126714
503,Humaitá,-7.5061,-63.0208,25.69,61,3,1.47,BR,1663126715
504,Derzhavīnsk,51.1,66.3167,12.98,43,2,4.3,KZ,1663126716
505,Jacareacanga,-6.2222,-57.7528,23.36,71,2,0.53,BR,1663126716
506,Sand Springs,36.1398,-96.1089,24.95,49,0,2.06,US,1663126716
507,Peniche,39.3558,-9.3811,20.31,95,43,6.04,PT,1663126717
508,Boysun,38.2061,67.1986,22.37,20,0,1.68,UZ,1663126717
509,Plouzané,48.3833,-4.6167,18.03,100,100,3.09,FR,1663126718
510,Bumba,2.1833,22.4667,20.91,97,100,0.26,CD,1663126719
511,Mirante do Paranapanema,-22.2919,-51.9064,20.09,86,100,2.86,BR,1663126719
512,Dire Dawa,9.5931,41.8661,21.12,75,100,3.39,ET,1663126719
513,Santiago,-33.4569,-70.6483,11.59,70,0,1.54,CL,1663126004
514,Vestmannaeyjar,63.4427,-20.2734,8.29,73,0,7.84,IS,1663126720
515,Ngunguru,-35.6167,174.5,13.86,64,93,2.76,NZ,1663126720
516,Kassala,15.451,36.4,24.46,78,25,4.97,SD,1663126721
517,Nchelenge,-9.3451,28.734,21.08,44,63,2.41,ZM,1663126721
518,Ciudad Ojeda,10.1964,-71.3082,25.27,87,99,3.62,VE,1663126721
519,Camaná,-16.6228,-72.7111,15.25,86,66,5.45,PE,1663126722
520,San Patricio,28.017,-97.5169,28.92,67,1,3.87,US,1663126723
521,Taperoá,-7.2075,-36.8267,19.51,89,31,4.86,BR,1663126723
522,Riyadh,24.6877,46.7219,28.08,13,6,3.1,SA,1663126724
523,Damietta,31.4165,31.8133,24.3,64,0,4.28,EG,1663126725
524,Mayya,61.7333,130.2811,7.62,97,100,6.19,RU,1663126726
525,Predivinsk,57.0669,93.4378,11.22,48,10,1.86,RU,1663126726
526,Nhamundá,-2.1861,-56.7131,24.95,66,39,0.18,BR,1663126726
527,‘Āhuimanu,21.4447,-157.8378,29.84,69,40,7.72,US,1663126726
528,Balkhash,46.844,74.9804,13.34,35,0,8.0,KZ,1663126727
529,Mathbaria,22.2876,89.9593,26.11,90,100,1.69,BD,1663126729
530,Canillo,42.5833,1.6667,11.34,84,100,2.45,AD,1663126729
531,Port Keats,-14.25,129.55,31.81,52,0,5.28,AU,1663126729
532,Soure,-0.7167,-48.5233,26.84,78,11,4.87,BR,1663126730
533,Batagay,67.6333,134.6333,6.88,71,100,0.89,RU,1663126730
534,La Palma,33.8464,-118.0467,26.06,79,20,3.09,US,1663126596
535,Touba,8.2833,-7.6833,19.94,98,90,0.47,CI,1663126731
536,Kushiro,42.975,144.3747,17.53,59,40,6.69,JP,1663126453
537,Kabinda,-6.1333,24.4833,20.35,84,96,0.73,CD,1663126732
538,Mangan,27.5167,88.5333,27.8,77,90,2.45,IN,1663126733
539,Lebanon,36.2081,-86.2911,21.03,87,0,0.0,US,1663126733
540,Champasak,14.75,106.0,24.49,69,81,1.31,LA,1663126733
541,Khorramshahr,30.4397,48.1664,29.98,94,0,3.09,IR,1663126733
542,Merauke,-8.4667,140.3333,29.06,73,97,6.42,ID,1663126668
